ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
336	"ENSG00000087460.24"	"GNAS"	chr20	+	58903527	58903585	58903530	58903585	58895611	58895684	336	0,0	0,2	1,0	0,1	52	49	1	1.0	NA,0.0	1.0,0.0	-0.5
457	"ENSG00000170889.13"	"RPS9"	chr19	+	54206552	54207647	54207397	54207647	54206275	54206462	457	2,2	2,0	0,0	1,1	894	49	0.409506962308	1.0	0.052,1.0	0.0,0.0	0.526
493	"ENSG00000142541.16"	"RPL13A"	chr19	+	49490126	49490297	49490231	49490297	49489849	49489922	493	1,0	3,1	0,1	0,1	154	49	1	1.0	0.096,0.0	NA,0.241	-0.193
586	"ENSG00000167644.11"	"C19orf33"	chr19	+	38304564	38304686	38304623	38304686	38304374	38304490	586	1,0	0,0	0,0	0,1	108	49	1	1.0	1.0,NA	NA,0.0	1.0
829	"ENSG00000182087.13"	"TMEM259"	chr19	-	1011579	1011663	1011579	1011612	1011740	1011798	829	0,1	0,1	1,1	0,0	100	49	1	1.0	NA,0.329	1.0,1.0	-0.671
924	"ENSG00000184009.10"	"ACTG1"	chr17	-	81511187	81511803	81511187	81511626	81511902	81512142	924	1,0	4,0	0,1	4,0	226	49	1	1.0	0.051,NA	0.0,1.0	-0.449
947	"ENSG00000214049.7"	"UCA1"	chr19	+	15834501	15835280	15835217	15835280	15831254	15831356	947	4,3	0,1	1,0	0,0	765	49	1	1.0	1.0,0.161	1.0,NA	-0.419
1007	"ENSG00000182481.8"	"KPNA2"	chr17	+	68037329	68037495	68037357	68037495	68037109	68037207	1007	0,1	0,1	0,0	1,0	77	49	1	1.0	NA,0.389	0.0,NA	0.389
1083	"ENSG00000013306.15"	"SLC25A39"	chr17	-	44320621	44320749	44320621	44320731	44321057	44321231	1083	1,0	0,0	0,0	0,1	67	49	1	1.0	1.0,NA	NA,0.0	1.0
1246	"ENSG00000175061.17"	"LRRC75A-AS1"	chr17	+	16440110	16440253	16440184	16440253	16439527	16439703	1246	0,1	0,1	1,0	0,1	123	49	1	1.0	NA,0.285	1.0,0.0	-0.215
1426	"ENSG00000141076.17"	"UTP4"	chr16	+	69136678	69136887	69136695	69136887	69133511	69133618	1426	0,0	0,1	1,0	0,0	66	49	1	1.0	NA,0.0	1.0,NA	-1.0
2075	"ENSG00000066322.14"	"ELOVL1"	chr1	-	43364927	43365097	43364927	43365008	43365185	43365376	2075	0,0	1,0	1,0	1,0	138	49	1	1.0	0.0,NA	0.262,NA	-0.262
2669	"ENSG00000114867.20"	"EIF4G1"	chr3	+	184331696	184331809	184331727	184331809	184331471	184331606	2669	0,0	1,0	0,1	0,0	80	49	1	1.0	0.0,NA	NA,1.0	-1.0
2805	"ENSG00000075624.14"	"ACTB"	chr7	-	5529534	5529733	5529534	5529663	5530523	5530601	2805	0,0	1,2	2,1	4,3	119	49	0.144059290763	1.0	0.0,0.0	0.171,0.121	-0.146
2828	"ENSG00000169714.16"	"CNBP"	chr3	-	129171078	129171280	129171078	129171277	129171445	129171538	2828	0,1	0,1	0,0	1,0	52	49	1	1.0	NA,0.485	0.0,NA	0.485
2829	"ENSG00000169714.16"	"CNBP"	chr3	-	129171078	129171283	129171078	129171277	129171445	129171538	2829	0,1	0,1	0,0	1,0	55	49	1	1.0	NA,0.471	0.0,NA	0.471
2894	"ENSG00000119185.12"	"ITGB1BP1"	chr2	-	9406660	9407598	9406660	9406905	9408112	9408205	2894	3,2	0,0	2,1	1,0	742	49	1	1.0	1.0,1.0	0.117,1.0	0.442
3246	"ENSG00000074071.14"	"MRPS34"	chr16	-	1771889	1772534	1771889	1772513	1772603	1772646	3246	0,0	0,1	0,1	0,0	70	49	1	1.0	NA,0.0	NA,1.0	-1.0
3392	"ENSG00000168883.19"	"USP39"	chr2	+	85623625	85623782	85623645	85623782	85621484	85621579	3392	1,0	0,0	0,0	2,0	69	49	1	1.0	1.0,NA	0.0,NA	1.0
3395	"ENSG00000196154.11"	"S100A4"	chr1	-	153543612	153543939	153543612	153543923	153544653	153544809	3395	0,0	3,6	1,0	1,0	65	49	1	1.0	0.0,0.0	0.43,NA	-0.43
3851	"ENSG00000077232.17"	"DNAJC10"	chr2	+	182739544	182740388	182740298	182740388	182736248	182736386	3851	0,0	1,0	0,2	0,0	803	49	1	1.0	0.0,NA	NA,1.0	-1.0
4285	"ENSG00000084207.16"	"GSTP1"	chr11	+	67585037	67585241	67585137	67585241	67584684	67584772	4285	1,0	0,2	0,0	0,1	149	49	1	1.0	1.0,0.0	NA,0.0	0.5
4390	"ENSG00000091527.15"	"CDV3"	chr3	+	133584001	133584150	133584004	133584150	133575038	133575115	4390	0,0	0,1	1,0	0,0	52	49	1	1.0	NA,0.0	1.0,NA	-1.0
4851	"ENSG00000125835.18"	"SNRPB"	chr20	-	2461633	2461939	2461633	2461793	2462635	2462761	4851	1,4	1,0	3,3	1,0	195	49	1	1.0	0.201,1.0	0.43,1.0	-0.114
5624	"ENSG00000203875.10"	"SNHG5"	chr6	-	85677794	85677875	85677794	85677868	85677953	85678032	5624	1,1	0,1	0,1	0,0	56	49	1	1.0	1.0,0.467	NA,1.0	-0.266
5625	"ENSG00000203875.10"	"SNHG5"	chr6	-	85677794	85677899	85677794	85677868	85677953	85678032	5625	0,0	0,1	0,1	0,0	80	49	1	1.0	NA,0.0	NA,1.0	-1.0
5660	"ENSG00000187514.16"	"PTMA"	chr2	+	231711886	231711983	231711889	231711983	231711347	231711419	5660	1,1	0,1	0,0	0,4	52	49	1	1.0	1.0,0.485	NA,0.0	0.742
5884	"ENSG00000142864.14"	"SERBP1"	chr1	-	67424887	67424977	67424887	67424959	67425082	67425223	5884	1,0	0,0	0,0	0,1	67	49	1	1.0	1.0,NA	NA,0.0	1.0
5998	"ENSG00000063177.12"	"RPL18"	chr19	-	48616078	48616220	48616078	48616202	48616725	48616824	5998	0,1	1,2	0,0	1,1	67	49	1	1.0	0.0,0.268	0.0,0.0	0.134
6676	"ENSG00000090316.15"	"MAEA"	chr4	+	1338421	1340136	1339073	1340136	1336860	1336994	6676	0,0	0,1	0,1	0,0	701	49	1	1.0	NA,0.0	NA,1.0	-1.0
6804	"ENSG00000149273.14"	"RPS3"	chr11	+	75402303	75402446	75402351	75402446	75401639	75401733	6804	0,1	3,4	0,1	0,1	97	49	1	1.0	0.0,0.112	NA,0.336	-0.28
6933	"ENSG00000107223.12"	"EDF1"	chr9	-	136862118	136862496	136862118	136862345	136862905	136862999	6933	1,3	1,0	0,2	0,0	200	49	1	1.0	0.197,1.0	NA,1.0	-0.401
6959	"ENSG00000197746.13"	"PSAP"	chr10	-	71821875	71822016	71821875	71822007	71825836	71825893	6959	1,0	0,0	0,0	0,1	58	49	1	1.0	1.0,NA	NA,0.0	1.0
7193	"ENSG00000167996.15"	"FTH1"	chr11	-	61964986	61965112	61964986	61965105	61965368	61965515	7193	6,1	0,0	4,4	1,0	56	49	1	1.0	1.0,1.0	0.778,1.0	0.111
7981	"ENSG00000089157.15"	"RPLP0"	chr12	-	120198553	120198770	120198553	120198739	120198853	120199000	7981	0,1	4,3	1,0	3,5	80	49	1	1.0	0.0,0.17	0.17,0.0	0.0
7984	"ENSG00000089157.15"	"RPLP0"	chr12	-	120200729	120200891	120200729	120200831	120201082	120201211	7984	1,0	1,0	0,1	3,0	109	49	1	1.0	0.31,NA	0.0,1.0	-0.19
